case_id,model_name,reasoning_diagnosis_score,reasoning_diagnosis_score,reasoning_diagnosis_score,reasoning_diagnosis_score,reasoning_diagnosis_score,reasoning_extraction_score,reasoning_extraction_score,reasoning_extraction_score,reasoning_extraction_score,reasoning_extraction_score
,,Caesa Nagpal,Carolyn Rodriguez,Pooja Chaudhary,Salih Selek,Stan Mathis,Caesa Nagpal,Carolyn Rodriguez,Pooja Chaudhary,Salih Selek,Stan Mathis
17,Anthropic Claude Opus 4.5,4,4,4,4,4,3,4,4,4,4
17,DeepSeek-V3.2,3,4,3,4,3,3,4,4,4,3
17,Google Gemini 3 Pro,2,4,3,4,3,2,4,3,4,3
17,OpenAI GPT-5.2,1,1,2,1,1,2,2,2,2,1
23,Anthropic Claude Opus 4.5,3,4,4,4,4,4,4,4,4,4
23,DeepSeek-V3.2,3,4,3,4,3,3,4,3,4,3
23,Google Gemini 3 Pro,3,4,4,4,4,3,4,4,4,4
23,OpenAI GPT-5.2,4,2,4,3,3,4,2,3,2,3
32,Anthropic Claude Opus 4.5,4,2,2,2,3,4,2,2,3,4
32,DeepSeek-V3.2,2,0,1,2,1,2,0,1,2,1
32,Google Gemini 3 Pro,3,2,4,3,4,3,4,4,3,4
32,OpenAI GPT-5.2,1,2,2,2,1,1,0,2,2,0
62,Anthropic Claude Opus 4.5,4,4,3,4,3,4,4,3,4,4
62,DeepSeek-V3.2,4,4,2,3,3,3,3,3,3,3
62,Google Gemini 3 Pro,4,4,4,4,3,4,4,4,4,3
62,OpenAI GPT-5.2,1,3,1,3,1,2,1,2,2,1
80,Anthropic Claude Opus 4.5,4,3,4,4,4,4,3,4,4,4
80,DeepSeek-V3.2,4,3,4,4,4,4,3,4,4,3
80,Google Gemini 3 Pro,3,3,3,3,3,3,3,3,4,3
80,OpenAI GPT-5.2,3,4,2,2,2,3,4,3,2,2
85,Anthropic Claude Opus 4.5,4,4,4,3,4,4,4,3,3,4
85,DeepSeek-V3.2,3,4,3,2,3,2,4,3,3,3
85,Google Gemini 3 Pro,2,3,3,4,4,2,3,2,3,4
85,OpenAI GPT-5.2,3,3,2,3,2,3,2,1,2,2
94,Anthropic Claude Opus 4.5,4,4,4,4,4,4,4,4,4,4
94,DeepSeek-V3.2,3,4,2,3,3,4,4,3,3,3
94,Google Gemini 3 Pro,4,4,4,3,3,4,4,4,3,3
94,OpenAI GPT-5.2,2,3,2,3,2,1,3,3,3,2
97,Anthropic Claude Opus 4.5,2,2,4,2,4,3,2,4,2,4
97,DeepSeek-V3.2,1,2,1,2,2,1,2,2,2,2
97,Google Gemini 3 Pro,2,2,3,1,3,1,2,4,2,3
97,OpenAI GPT-5.2,1,2,2,2,2,1,2,2,2,2
99,Anthropic Claude Opus 4.5,4,4,4,4,4,4,4,4,4,4
99,DeepSeek-V3.2,2,4,2,4,3,2,4,3,3,3
99,Google Gemini 3 Pro,3,4,2,3,3,3,4,4,3,3
99,OpenAI GPT-5.2,3,2,3,3,3,3,2,3,2,3
104,Anthropic Claude Opus 4.5,4,4,4,3,4,4,4,4,4,4
104,DeepSeek-V3.2,3,4,4,3,3,3,4,3,4,3
104,Google Gemini 3 Pro,3,4,3,3,3,3,4,3,3,4
104,OpenAI GPT-5.2,3,4,2,3,1,3,4,3,2,1
108,Anthropic Claude Opus 4.5,3,4,3,3,4,3,4,3,3,4
108,DeepSeek-V3.2,1,3,2,3,3,2,2,2,3,2
108,Google Gemini 3 Pro,2,2,4,3,2,2,2,4,2,3
108,OpenAI GPT-5.2,1,1,2,2,2,1,1,1,2,2
109,Anthropic Claude Opus 4.5,4,4,3,4,4,4,4,4,4,4
109,DeepSeek-V3.2,4,3,4,4,3,4,4,3,4,3
109,Google Gemini 3 Pro,4,4,4,3,4,4,4,4,4,4
109,OpenAI GPT-5.2,3,4,4,3,1,3,4,4,2,1
115,Anthropic Claude Opus 4.5,4,4,4,4,4,4,4,4,4,4
115,DeepSeek-V3.2,2,4,3,3,3,2,4,3,3,3
115,Google Gemini 3 Pro,3,4,4,3,4,3,4,4,3,4
115,OpenAI GPT-5.2,3,2,2,3,1,1,2,1,2,1
118,Anthropic Claude Opus 4.5,4,2,4,4,4,4,2,4,4,4
118,DeepSeek-V3.2,2,1,2,3,2,3,1,2,3,3
118,Google Gemini 3 Pro,2,4,3,4,3,3,4,4,3,2
118,OpenAI GPT-5.2,3,4,3,3,2,3,4,3,2,2
155,Anthropic Claude Opus 4.5,4,4,2,4,4,4,4,3,4,4
155,DeepSeek-V3.2,4,4,4,4,4,4,4,4,4,4
155,Google Gemini 3 Pro,1,3,1,3,1,0,1,0,1,0
155,OpenAI GPT-5.2,2,4,2,3,2,2,4,3,2,2
159,Anthropic Claude Opus 4.5,4,4,4,4,4,4,4,4,4,4
159,DeepSeek-V3.2,3,2,3,3,3,3,2,3,2,3
159,Google Gemini 3 Pro,4,4,4,3,4,4,4,4,4,4
